price,PriceCategory,Company,aspiration,carbody,drivewheel,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,CityMileage,HighwayMileage
5118.0,1,SUBARU,std,hatchback,fwd,93.7,156.9,63.4,2050,ohcf,4,97,2bbl,3.62,69,31,36
5151.0,1,CHEVROLET,std,hatchback,fwd,88.4,141.1,60.3,1488,l,3,61,2bbl,2.91,48,47,53
5195.0,1,MAZDA,std,hatchback,fwd,93.1,159.1,64.2,1890,ohc,4,91,2bbl,3.03,68,30,31
5348.0,1,TOYOTA,std,hatchback,fwd,95.7,158.7,63.6,1985,ohc,4,92,2bbl,3.05,62,35,39
5389.0,1,MITSUBISHI,std,hatchback,fwd,93.7,157.3,64.4,1918,ohc,4,92,2bbl,2.97,68,37,41
5399.0,1,HONDA,std,hatchback,fwd,93.7,150.0,64.0,1837,ohc,4,79,1bbl,2.91,60,38,42
5499.0,1,NISSAN,std,sedan,fwd,94.5,165.3,63.8,1889,ohc,4,97,2bbl,3.15,69,31,37
5572.0,1,PLYMOUTH,std,hatchback,fwd,93.7,157.3,63.8,1918,ohc,4,90,2bbl,2.97,68,37,41
5572.0,1,DODGE,std,hatchback,fwd,93.7,157.3,63.8,1876,ohc,4,90,2bbl,2.97,68,37,41
6095.0,1,MAZDA,std,hatchback,fwd,93.1,159.1,64.2,1900,ohc,4,91,2bbl,3.03,68,31,38
6189.0,1,MITSUBISHI,std,hatchback,fwd,93.7,157.3,64.4,1944,ohc,4,92,2bbl,2.97,68,31,38
6229.0,1,DODGE,std,hatchback,fwd,93.7,157.3,63.8,1967,ohc,4,90,2bbl,2.97,68,31,38
6229.0,1,PLYMOUTH,std,hatchback,fwd,93.7,157.3,63.8,1967,ohc,4,90,2bbl,2.97,68,31,38
6295.0,1,CHEVROLET,std,hatchback,fwd,94.5,155.9,63.6,1874,ohc,4,90,2bbl,3.03,70,38,43
6338.0,1,TOYOTA,std,hatchback,fwd,95.7,158.7,63.6,2040,ohc,4,92,2bbl,3.05,62,31,38
6377.0,1,DODGE,std,hatchback,fwd,93.7,157.3,63.8,1876,ohc,4,90,2bbl,2.97,68,31,38
